31
Acenaphthene-(H2O)3 Isomer efp-3
C 0.413407 -0.804215 0.029803
C 1.210844 0.376548 -0.018039
C 1.561272 0.854412 -1.316979
C 1.562994 0.957380 1.237308
C 1.139746 0.157124 -2.455138
C 1.137786 0.357556 2.428225
C 0.341051 -1.030242 -2.375639
C 0.335610 -0.829358 2.445549
C -0.029020 -1.509595 -1.119872
C -0.032313 -1.411348 1.232898
C -0.860787 -2.706367 -0.678889
C -0.875051 -2.632574 0.890610
H -1.880496 -2.654169 -1.093528
H -1.901429 -2.522146 1.276953
H -0.413189 -3.649230 -1.032749
H -0.454026 -3.545453 1.341831
H 0.034584 -1.537973 -3.296132
H 0.023936 -1.257166 3.404100
H 1.418904 0.537019 -3.442985
H 1.415906 0.817125 3.381847
H 2.149207 1.771370 -1.420211
H 2.153427 1.878031 1.265595
O -1.879162 1.446382 1.332482
H -1.306172 0.752791 1.695404
H -2.050063 1.156317 0.411376
O -1.882643 1.310222 -1.474542
H -1.302209 2.081446 -1.320759
H -1.280054 0.644937 -1.842366
O -0.361440 3.321714 -0.081271
H -0.807767 2.791030 0.616308
H -0.722274 4.211210 0.027444
