31
Acenaphthene-(H2O)3 Isomer efp-6
C -0.679070 -0.532657 -0.070339
C -1.368490 0.131833 -1.128102
C -2.547176 0.851191 -0.764113
C -0.785618 0.020646 -2.429441
C -2.969077 0.868568 0.569761
C 0.398859 -0.708113 -2.607071
C -2.260238 0.183593 1.606904
C 1.069276 -1.356947 -1.522526
C -1.107885 -0.526253 1.282469
C 0.521020 -1.270253 -0.245399
C -0.137552 -1.351499 2.114353
C 0.979263 -1.798115 1.105414
H 0.283064 -0.750143 2.933564
H 1.957350 -1.364676 1.366674
H -0.648360 -2.222827 2.556657
H 1.098294 -2.893620 1.086582
H -2.633771 0.228543 2.635150
H 2.003638 -1.895747 -1.707424
H -3.873790 1.427469 0.830422
H 0.830371 -0.776362 -3.611023
H -3.120020 1.388200 -1.527505
H -1.264446 0.503765 -3.287994
O 1.367462 2.015897 -0.856716
H 1.003550 1.979968 0.048266
H 0.729566 1.514141 -1.389933
O 3.412177 0.511223 0.220670
H 2.797338 0.990328 -0.382425
H 4.279526 0.896813 0.043305
O 1.426460 1.447592 1.964199
H 1.656052 2.142609 2.594341
H 2.285371 1.135294 1.611374
